id,gender,age,major,year_study,campus,gpa,internet_hours,smartphone_use,lms_use,ai_experience,pe1,pe2,pe3,pe4,ee1,ee2,ee3,ee4,si1,si2,si3,si4,fc1,fc2,fc3,fc4,dr1,dr2,dr3,dr4,tr1,tr2,tr3,tr4,bi1,bi2,bi3,au1,au2,au3
ST001,Female,24,Graphic Design,3,Da Nang,7.87,7.2,5,4,0,3,4,3,2,3,4,4,2,3,4,3,3,3,4,4,4,3,4,4,2,3,3,4,3,4,5,5,3,4,3
ST002,Male,20,Digital Marketing,2,Da Nang,5.76,3.9,3,3,2,3,2,1,3,4,3,4,3,3,1,1,4,2,3,2,2,5,5,3,4,5,3,4,5,5,5,4,4,4,5
ST003,Female,22,Digital Marketing,1,Ho Chi Minh,7.6,6.3,1,2,3,4,4,4,3,2,3,3,3,4,5,4,4,3,3,3,3,4,3,4,3,5,5,4,3,4,4,5,3,3,4
ST004,Male,21,Graphic Design,3,Da Nang,6.17,8.3,1,3,1,4,3,3,3,4,3,3,4,2,1,2,3,4,2,4,3,4,2,3,2,4,4,3,4,5,3,4,3,3,2
ST005,Female,24,Logistics,2,Can Tho,8.83,3.5,1,5,2,4,4,4,3,5,3,4,2,2,1,3,2,1,2,3,4,4,4,4,4,4,5,3,4,4,5,5,4,4,3
ST006,Female,18,Logistics,1,Ha Noi,7.35,6.1,1,2,1,3,3,2,2,4,3,4,4,2,3,2,2,4,4,3,4,1,2,5,3,4,5,3,3,4,5,5,1,3,5
ST007,Female,24,Hospitality,2,Da Nang,6.6,6.9,1,3,3,4,4,4,3,3,4,4,4,2,4,1,4,4,4,5,5,3,4,2,3,4,4,5,5,5,4,4,3,4,4
ST008,Female,19,Digital Marketing,3,Can Tho,7.83,7.1,1,2,3,3,4,5,3,4,5,5,3,5,3,3,4,2,2,2,2,5,4,4,4,4,5,4,4,5,4,5,3,4,3
ST009,Female,23,Graphic Design,3,Ha Noi,7.5,3.2,3,3,0,4,5,4,5,4,3,4,3,5,4,5,5,2,4,3,3,4,4,2,4,4,4,3,4,5,5,5,5,4,5
ST010,Male,20,Business Administration,1,Ha Noi,6.17,5.2,3,1,2,3,2,3,4,4,3,4,5,3,3,3,2,1,3,1,1,4,2,2,2,2,3,5,3,3,3,4,3,2,2
